name,drug_class,drugbank_id,smiles,MW,LogP,LogS,WS_mg_mL,HBA,HBD,PSA,RBC,NOR,AromRings,Polarizability_alpha,Fraction_Csp3,E_HOMO,E_LUMO,Gap_eV,Hardness_eta,Softness_S,Electronegativity_chi,Chemical_Potential_mu,Electrophilicity_omega
Verubecestat,BACE1 Inhibitor,DB12459,CN1C(=N)N(C)C(=O)C1(C)c2cc(NC(=O)c3ncc(F)cn3)ccc2F,374.351,1.561,-3.44,136.0263,5,2,102.28,3,3,2,152.886,0.235,-5.401,-1.304,4.097,2.048,0.2441,3.353,-3.353,2.743
Lanabecestat,BACE1 Inhibitor,DB12458,CN1C=C(C=N1)c2cc(NC(=O)c3ncc(OCC(F)(F)F)cn3)ccc2F,395.316,3.21,-4.723,7.4807,5,1,81.93,5,3,3,155.539,0.176,-5.838,-1.611,4.226,2.113,0.2366,3.725,-3.725,3.282
Semagacestat,Gamma-Secretase Inhibitor,DB05459,CCC(C)(C)C(=O)N[C@@H](C)C(=O)N[C@H]1CCc2ccccc2C1,316.445,2.601,-3.481,104.6432,2,2,58.2,5,2,1,138.593,0.579,-5.538,-1.61,3.928,1.964,0.2546,3.574,-3.574,3.252
Avagacestat,Gamma-Secretase Inhibitor,DB12128,NS(=O)(=O)c1ccc(cc1)C(F)(F)c2ccc(Cl)c(NC(=O)C(F)(F)C(F)(F)F)c2,478.773,4.264,-5.904,0.5966,3,2,89.26,5,2,2,169.222,0.188,-5.887,-1.85,4.038,2.019,0.2477,3.868,-3.868,3.706
Bexarotene,RXR Agonist Clearing Aggregates,DB00611,CC1(C)CCC(C)(C)c2cc(c(C)cc12)/C(=C)c3ccc(C(=O)O)cc3,348.486,6.104,-6.141,0.2517,1,1,37.3,3,3,2,156.128,0.375,-6.309,-2.266,4.043,2.022,0.2473,4.287,-4.287,4.546
Sodium Phenylbutyrate,Chemical Chaperone,DB06819,O=C(O)CCCCc1ccccc1,178.231,2.484,-2.92,214.308,1,1,37.3,5,1,1,78.212,0.364,-5.607,-1.663,3.945,1.972,0.2535,3.635,-3.635,3.35
TUDCA,Neuroprotective Bile Acid,DB09568,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C,499.714,3.397,-4.617,12.0836,5,4,123.93,7,4,0,204.768,0.962,-5.452,-1.46,3.992,1.996,0.2505,3.456,-3.456,2.991
Anavex 2-73,Sigma-1 Receptor Agonist,DB12247,CN(C)CCC(c1ccccc1)C2CCCO2,233.355,2.901,-3.154,163.5502,2,0,12.47,5,2,1,104.583,0.6,-5.772,-1.655,4.117,2.059,0.2429,3.714,-3.714,3.35
GV-971,Marine Oligosaccharide Surrogate,DB15520,O=C(O)[C@@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,194.139,-3.129,0.994,1913304.0388,6,5,127.45,1,1,0,72.804,0.833,-4.187,-0.411,3.776,1.888,0.2648,2.299,-2.299,1.399
Trehalose,Autophagy Inducer,DB03327,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,342.297,-5.397,1.702,17234460.4947,11,8,189.53,4,2,0,130.436,1.0,-3.509,0.28,3.788,1.894,0.264,1.614,-1.614,0.688
Melatonin,Antioxidant & Tau Kinase Inhibitor,DB01065,CC(=O)NCCc1c[nH]c2ccc(OC)cc12,232.283,1.855,-2.925,276.1554,2,2,54.12,4,2,2,99.972,0.308,-5.454,-1.558,3.896,1.948,0.2567,3.506,-3.506,3.155
Apigenin,Flavonoid Anti-inflammatory,DB07352,O=C1C=C(c2ccc(O)cc2)Oc3cc(O)cc(O)c13,270.24,2.577,-3.813,41.5796,5,3,90.9,1,3,3,112.519,0.0,-5.544,-1.517,4.027,2.014,0.2483,3.53,-3.53,3.094
Luteolin,Flavonoid Kinase Inhibitor,DB06841,O=C1C=C(c2ccc(O)c(O)c2)Oc3cc(O)cc(O)c13,286.239,2.282,-3.727,53.7202,6,4,111.13,1,3,3,117.313,0.0,-5.401,-1.402,3.998,1.999,0.2501,3.402,-3.402,2.894
Honokiol,Neolignan BBB-Penetrating Neuroprotector,DB08149,C=CCc1ccc(O)c(c1)c2cc(CC=C)ccc2O,266.34,4.222,-4.561,7.3181,2,2,40.46,5,2,2,118.887,0.111,-5.88,-1.913,3.967,1.983,0.2521,3.897,-3.897,3.828
