name,drug_class,drugbank_id,SMILES,MW,PSA,Polarizability_alpha,Electrophilicity_omega,E_HOMO_eV,E_LUMO_eV,Docking_Score_kcal_mol,Vina_6VHL_kcal_mol,E_ads_kcal_mol,Delta_E_int_B48COOH_kcal_mol
Baicalein,Flavonoid,DB_Bai,O=C1C=C(c2ccccc2)Oc2cc(O)c(O)c(O)c21,270.24,90.9,32.35968,7.523320432943222,-5.893092,-3.166,-8.1,-7.8999999999999995,-28.9,-32.699999999999996
Rosmarinic Acid,Polyphenol,DB_Ros,O=C(O)/C=C/c1ccc(O)c(O)c1OC(=O)[C@H](Cc1ccc(O)c(O)c1)O,376.31700000000006,164.75,37.657994,7.455674635583698,-5.866229999999999,-3.144,-8.9,-8.700000000000001,-32.4,-36.199999999999996
Fisetin,Flavonoid,DB_Fis,O=C1C(O)=C(c2ccc(O)c(O)c2)Oc2ccc(O)cc21,286.23900000000003,111.13000000000001,33.671598,7.525988343209109,-5.8906644,-3.166,-8.3,-8.100000000000001,-29.6,-33.4
Apigenin,Flavonoid,DB_Api,O=C1C=C(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,270.24,90.9,32.35968,7.523320432943222,-5.893092,-3.166,-8.2,-7.999999999999999,-28.7,-32.5
Luteolin,Flavonoid,DB_Lut,O=C1C=C(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,286.23900000000003,111.13000000000001,33.671598,7.525988343209109,-5.8906644,-3.166,-8.4,-8.200000000000001,-29.8,-33.6
Honokiol,Neolignan,DB_Hon,C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,266.3399999999999,40.46,28.639879999999994,7.4396172483245175,-5.8811447999999995,-3.144,-7.9,-7.7,-28.1,-31.900000000000002
Anle138b,Diphenylpyrazole,DB_Anle,BrC1=CC(=NN1C2=CC=C(C=C2)Br)C3=CC=CC=C3,378.06700000000006,17.82,41.20149400000001,7.513731140196799,-5.9018616,-3.166,-8.0,-7.8,-26.5,-30.3
Tideglusib,GSK-3beta Inhibitor,DB12129,O=C1NC(=O)N(c2ccccc2)S1(=O)=O,226.213,83.55000000000001,21.949465999999997,7.368484956424657,-5.857974,-3.122,-7.5,-7.3,-25.2,-29.0
AZD1080,GSK-3beta Inhibitor,DB12488,Cc1nc(Nc2ccc(C#N)c(F)c2)c(C(F)(F)F)n1C,298.243,53.64,31.255926000000002,7.441309784434357,-5.879563199999999,-3.144,-8.1,-7.8999999999999995,-28.6,-32.4
Bexarotene,RXR Agonist,DB00396,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,348.48600000000016,37.3,35.375852000000016,7.439211809154552,-5.881523999999999,-3.144,-8.3,-8.100000000000001,-31.0,-34.8
Donepezil,AChE Inhibitor,DB00843,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,379.50000000000017,38.77,37.91900000000001,7.439400398110363,-5.881347599999999,-3.144,-7.8,-7.6,-29.4,-33.199999999999996
Rivastigmine,ChE Inhibitor,DB00989,CCN(C)C(=O)Oc1cccc([C@@H](C)N(C)C)c1,250.34199999999998,32.78,23.928044,7.3620928130340815,-5.8640664,-3.122,-6.9,-6.7,-24.1,-27.900000000000002
Galantamine,AChE Inhibitor,DB00674,COc1ccc2c3c1O[C@H]1CC(=O)C=C[C@]31CCN(C)C2,285.343,38.77,26.798126,7.3628451471117495,-5.863347599999999,-3.122,-7.6,-7.3999999999999995,-26.8,-30.6
Memantine,NMDA Antagonist,DB00729,CC12CC3CC(C)(C1)CC(N)(C3)C2,179.307,26.02,14.703173999999999,7.285237135191405,-5.8468776,-3.1,-6.2,-6.0,-22.4,-26.2
