name,drug_class,drugbank_id,smiles,formal_charge,E_HOMO_eV,E_LUMO_eV,Gap_eV,Eta_eV,Mu_eV,Omega_eV,MolMR,MolWt,E_drug_Eh,vina_5O3L_kcal_mol,delta_Eint_SP_kcal_mol,carrier_formula,min_contact_A,adsorption_mode,delta_Eads_kcal_mol
Apigenin,Trihydroxyflavone,DB_Api,O=C1C=C(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0,-10.5955,-7.7421,2.8534,1.4267,-9.1688,29.462,72.914,270.24,-57.57097435201,-4.839,-104.366,B40H15,1.369,chemisorption,-68.031
Luteolin,Tetrahydroxyflavone,DB_Lut,O=C1C=C(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,0,-10.0962,-7.4501,2.6461,1.323,-8.7731,29.0874,74.579,286.24,-61.644180222295,-4.886,-107.179,B40H15,1.377,chemisorption,-70.886
Honokiol,Lignan / Neuroprotective Polyphenol,DB_Hon,C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,0,-9.977,-6.6147,3.3623,1.6812,-8.2958,20.4685,83.01,266.34,-55.796484226528,-4.264,-13.454,B40H15,2.638,physisorption,-79.53
Anle138b,Oligomer Modulator,DB_Anle,BrC1=CC(=NN1C2=CC=C(C=C2)Br)C3=CC=CC=C3,0,-10.7024,-7.7361,2.9663,1.4832,-9.2193,28.6534,84.4,378.07,-51.21994599103,-4.679,-12.73,B40H15,3.552,physisorption,-67.868
Tideglusib,GSK-3beta Inhibitor,DB12129,O=C1SC(=O)N(Cc2ccccc2)N1c1cccc2ccccc12,0,-11.5162,-8.9364,2.5798,1.2899,-10.2263,40.5369,51.769,226.21,-65.075072657661,-4.52,-20.7,B40H15,3.309,physisorption,-19.385
AZD1080,Selective GSK-3 Inhibitor,DB12488,Cc1nc(Nc2ccc(C#N)c(F)c2)c(C(F)(F)F)n1C,0,-10.3589,-7.4384,2.9205,1.4603,-8.8986,27.1138,67.345,298.24,-63.577212629301,-4.826,-11.216,B40H15,3.173,physisorption,-86.023
Bexarotene,RXR Agonist / Clearance Enhancer,DB00396,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,0,-10.2913,-7.5723,2.719,1.3595,-8.9318,29.3406,108.002,348.49,-73.835602469501,-5.29,-15.251,B40H15,3.423,physisorption,-80.492
Donepezil,AChE Inhibitor,DB00843,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0,-9.3542,-7.3361,2.0181,1.0091,-8.3452,34.5085,110.131,379.5,-81.324903853114,-5.682,-11.767,B40H15,3.69,physisorption,-86.818
Rivastigmine,Dual AChE/BuChE Inhibitor,DB00989,CCN(C)C(=O)Oc1cccc([C@@H](C)N(C)C)c1,0,-9.2365,-6.1645,3.072,1.536,-7.7005,19.3026,72.872,250.34,-55.215660941798,-3.87,-10.327,B40H15,3.478,physisorption,-85.196
Galantamine,Allosteric AChE Modulator,DB00674,COc1ccc2c3c1O[C@H]1CC(=O)C=C[C@]31CCN(C)C2,0,-9.736,-7.9622,1.7738,0.8869,-8.8491,44.1462,78.803,285.34,-61.199976211531,-3.763,-15.862,B40H15,2.934,physisorption,-82.65
Memantine,NMDA Receptor Antagonist,DB00729,CC12CC3CC(C)(C1)CC(N)(C3)C2,0,-9.7421,0.4667,10.2088,5.1044,-4.6377,2.1068,54.324,179.31,-39.401207715284,-3.861,-8.122,B40H15,3.592,physisorption,-83.274
Tacrine,Classical AChE Inhibitor,DB00141,Nc1c2ccccc2nc2c1CCCC2,0,-9.6388,-7.3167,2.3221,1.161,-8.4778,30.9514,62.797,198.27,-40.847135774335,-4.272,-16.272,B40H15,3.279,physisorption,-70.525
